
4K,#genre#
南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de$LR•IPV4•2『线路1』
南国都市4K,http://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=140110ae3d6c936a77f94c4f4d85b0d3&txTime=18d57929bd4$LR•IPV4•2『线路2』

央视,#genre#
CCTV1,http://221.13.235.27:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•29『线路1』
CCTV1,http://221.13.234.116:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•29『线路2』
CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub$LR•IPV4•29『线路3』
CCTV1,http://play.kankanlive.com/live/1698234869325962.m3u8$LR•IPV4•29『线路4』
CCTV1,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8$LR•IPV4•29『线路5』
CCTV1,http://153.0.171.163:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•29『线路6』
CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009$LR•IPV4•29『线路7』
CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8$LR•IPV4•29『线路8』
CCTV1,http://23.237.228.134/live5/CCTV1.m3u8$LR•IPV4•29『线路9』
CCTV1,http://43.251.226.89:8080/play/1.m3u8$LR•IPV4•29『线路10』
CCTV1,http://112.46.105.20:8009/hls/501/index.m3u8$LR•IPV4•29『线路11』
CCTV1,http://153.0.171.163:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•29『线路12』
CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33$LR•IPV4•29『线路13』
CCTV1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8$LR•IPV4•29『线路14』
CCTV1,rtmp://39.108.129.193:1935/cctv1/1sao$LR•IPV4•29『线路15』
CCTV1,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000004000002226&livemode=1&stbId=yu&mode=1&$LR•IPV4•29『线路16』
CCTV1,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000010000030810&livemode=1&stbId=yu&mode=1&$LR•IPV4•29『线路17』
CCTV1,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=yu&mode=1&$LR•IPV4•29『线路18』
CCTV1,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021973&livemode=1&stbId=yu&mode=1&$LR•IPV4•29『线路19』
CCTV1,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=yu&mode=1&$LR•IPV4•29『线路20』
CCTV1,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=reallive-cctv1&livemode=1&stbId=yu&mode=1&$LR•IPV4•29『线路21』
CCTV1,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000001000004953&livemode=1&stbId=yu&mode=1&$LR•IPV4•29『线路22』
CCTV1,http://111.29.9.35:6610/000000001000/1000000001000018602/index.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=3$LR•IPV4•29『线路23』
CCTV1,http://183.215.134.239:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•29『线路24』
CCTV1,http://111.29.9.33:6610/000000001000/1000000001000021973/index.m3u8?channel-id=bestzb&Contentid=1000000001000021973&livemode=1&stbId=3$LR•IPV4•29『线路25』
CCTV1,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?$LR•IPV6•29『线路26』
CCTV1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd$LR•IPV4•29『线路27』
CCTV1,http://123.175.209.52:9003/hls/1/index.m3u8$LR•IPV4•29『线路28』
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8$LR•IPV4•29『线路29』
CCTV2,http://221.13.235.27:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•26『线路1』
CCTV2,http://221.13.234.116:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•26『线路2』
CCTV2,http://222.214.208.34:59901/tsfile/live/0002_1.m3u8$LR•IPV4•26『线路3』
CCTV2,http://120.211.62.180:8000/hls/2/index.m3u8$LR•IPV4•26『线路4』
CCTV2,http://221.226.51.220:50081/newlive/live/hls/2/live.m3u8$LR•IPV4•26『线路5』
CCTV2,http://113.241.133.180:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•26『线路6』
CCTV2,http://153.0.171.163:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•26『线路7』
CCTV2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009$LR•IPV4•26『线路8』
CCTV2,http://pull-hls-f11.douyincdn.com/media/stream-407062262674621100.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1771769775&major_anchor_level=common&sign=98406f42e949db5477a402c85cbee007&t_id=037-20260215221614EEA56BB994BB42D25308-a6AVAz$LR•IPV4•26『线路9』
CCTV2,http://23.237.228.134/live5/CCTV2.m3u8$LR•IPV4•26『线路10』
CCTV2,http://43.251.226.89:8080/play/2.m3u8$LR•IPV4•26『线路11』
CCTV2,http://112.46.105.20:8009/hls/502/index.m3u8$LR•IPV4•26『线路12』
CCTV2,http://153.0.171.163:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•26『线路13』
CCTV2,rtmp://39.108.129.193:1935/cv2/mx6o_cv2$LR•IPV4•26『线路14』
CCTV2,http://74.91.26.218:82/live/cctv2hd.m3u8$LR•IPV4•26『线路15』
CCTV2,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000005000031113&livemode=1&stbId=yu&mode=1&$LR•IPV4•26『线路16』
CCTV2,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000011000031101&livemode=1&stbId=yu&mode=1&$LR•IPV4•26『线路17』
CCTV2,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012442&livemode=1&stbId=yu&mode=1&$LR•IPV4•26『线路18』
CCTV2,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=yu&mode=1&$LR•IPV4•26『线路19』
CCTV2,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265002&livemode=1&stbId=yu&mode=1&$LR•IPV4•26『线路20』
CCTV2,http://111.29.9.34:6610/000000001000/1000000001000012442/index.m3u8?channel-id=ystenlive&Contentid=1000000001000012442&livemode=1&stbId=3$LR•IPV4•26『线路21』
CCTV2,http://111.29.9.33:6610/000000001000/1000000001000012442/index.m3u8?channel-id=bestzb&Contentid=1000000001000012442&livemode=1&stbId=3$LR•IPV4•26『线路22』
CCTV2,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8?$LR•IPV6•26『线路23』
CCTV2,http://123.175.209.52:9003/hls/2/index.m3u8$LR•IPV4•26『线路24』
CCTV2,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv2hd$LR•IPV4•26『线路25』
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8$LR•IPV4•26『线路26』
CCTV3,http://221.13.235.27:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•21『线路1』
CCTV3,http://221.13.234.116:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•21『线路2』
CCTV3,http://183.10.180.219:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•21『线路3』
CCTV3,http://113.241.133.180:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•21『线路4』
CCTV3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009$LR•IPV4•21『线路5』
CCTV3,http://74.91.26.218:82/live/cctv3hd.m3u8$LR•IPV4•21『线路6』
CCTV3,http://23.237.228.134/live5/CCTV3.m3u8$LR•IPV4•21『线路7』
CCTV3,http://43.251.226.89:8080/play/3.m3u8$LR•IPV4•21『线路8』
CCTV3,http://112.46.105.20:8009/hls/3/index.m3u8$LR•IPV4•21『线路9』
CCTV3,http://153.0.171.163:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•21『线路10』
CCTV3,rtmp://39.108.129.193:1935/cv3/yxz4_cv3$LR•IPV4•21『线路11』
CCTV3,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000002000020548&livemode=1&stbId=yu&mode=1&$LR•IPV4•21『线路12』
CCTV3,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=yu&mode=1&$LR•IPV4•21『线路13』
CCTV3,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=yu&mode=1&$LR•IPV4•21『线路14』
CCTV3,http://111.29.9.38:6610/000000001000/1000000001000011218/index.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=3$LR•IPV4•21『线路15』
CCTV3,http://153.0.171.163:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•21『线路16』
CCTV3,http://111.29.9.33:6610/000000001000/1000000001000011218/index.m3u8?channel-id=bestzb&Contentid=1000000001000011218&livemode=1&stbId=3$LR•IPV4•21『线路17』
CCTV3,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226471/1.m3u8?$LR•IPV6•21『线路18』
CCTV3,http://123.175.209.52:9003/hls/3/index.m3u8$LR•IPV4•21『线路19』
CCTV3,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd$LR•IPV4•21『线路20』
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8$LR•IPV4•21『线路21』
CCTV4,http://221.13.235.27:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•27『线路1』
CCTV4,http://183.10.180.36:9901/tsfile/live/1071_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•27『线路2』
CCTV4,http://183.10.180.192:9901/tsfile/live/1071_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•27『线路3』
CCTV4,http://120.211.62.180:8000/hls/4/index.m3u8$LR•IPV4•27『线路4』
CCTV4,http://221.226.51.220:50081/newlive/live/hls/4/live.m3u8$LR•IPV4•27『线路5』
CCTV4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009$LR•IPV4•27『线路6』
CCTV4,http://74.91.26.218:82/live/cctv4hd.m3u8$LR•IPV4•27『线路7』
CCTV4,http://43.251.226.89:8080/play/4.m3u8$LR•IPV4•27『线路8』
CCTV4,http://112.46.105.20:8009/hls/4/index.m3u8$LR•IPV4•27『线路9』
CCTV4,http://153.0.171.163:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•27『线路10』
CCTV4,p3p://167.114.175.6:55331/61244d9c0006885d64b1b7591f6c12a0$LR•IPV4•27『线路11』
CCTV4,rtmp://39.108.129.193:1935/cv4/3wqo_cv4$LR•IPV4•27『线路12』
CCTV4,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000005000030093&livemode=1&stbId=yu&mode=1&$LR•IPV4•27『线路13』
CCTV4,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000011000031102&livemode=1&stbId=yu&mode=1&$LR•IPV4•27『线路14』
CCTV4,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000002000031664&livemode=1&stbId=yu&mode=1&$LR•IPV4•27『线路15』
CCTV4,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=yu&mode=1&$LR•IPV4•27『线路16』
CCTV4,http://111.29.9.40:6610/000000001000/5000000005000030093/index.m3u8?channel-id=bestzb&Contentid=5000000005000030093&livemode=1&stbId=3$LR•IPV4•27『线路17』
CCTV4,http://153.0.171.163:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•27『线路18』
CCTV4,http://111.29.9.33:6610/000000001000/1000000002000031664/index.m3u8?channel-id=bestzb&Contentid=1000000002000031664&livemode=1&stbId=3$LR•IPV4•27『线路19』
CCTV4,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4_mbd.m3u8?auth_key=1776502800-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-f06efb221ecf0ced9c2e31ea74368025&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c$LR•IPV4•27『线路20』
CCTV4,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4_mbd.m3u8?auth_key=1776409200-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-53e238b4115fe18296ad6f345ff2c495&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c$LR•IPV4•27『线路21』
CCTV4,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8?$LR•IPV6•27『线路22』
CCTV4,http://123.175.209.52:9003/hls/4/index.m3u8$LR•IPV4•27『线路23』
CCTV4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$LR•IPV4•27『线路24』
CCTV4,https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8$LR•IPV4•27『线路25』
CCTV4,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd$LR•IPV4•27『线路26』
CCTV4,http://120.76.248.139/live/bfgd/4200000063.m3u8$LR•IPV4•27『线路27』
CCTV5,http://113.241.133.180:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•39『线路1』
CCTV5,https://live12.xiazhix1.top/live/38260737.m3u8$LR•IPV4•39『线路2』
CCTV5,http://74.91.26.218:82/live/cctv5hd.m3u8$LR•IPV4•39『线路3』
CCTV5,http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009$LR•IPV4•39『线路4』
CCTV5,http://23.237.228.134/live5/CCTV5.m3u8$LR•IPV4•39『线路5』
CCTV5,http://43.251.226.89:8080/play/5.m3u8$LR•IPV4•39『线路6』
CCTV5,http://112.46.105.20:8009/hls/503/index.m3u8$LR•IPV4•39『线路7』
CCTV5,http://153.0.171.163:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•39『线路8』
CCTV5,http://221.13.235.27:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•39『线路9』
CCTV5,rtmp://39.108.129.193:1935/cv5/6mio_cv5$LR•IPV4•39『线路10』
CCTV5,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000010000016619&livemode=1&stbId=yu&mode=1&$LR•IPV4•39『线路11』
CCTV5,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000004794&livemode=1&stbId=yu&mode=1&$LR•IPV4•39『线路12』
CCTV5,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=yu&mode=1&$LR•IPV4•39『线路13』
CCTV5,http://153.0.171.163:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•39『线路14』
CCTV5,http://111.29.9.33:6610/000000001000/1000000001000004794/index.m3u8?channel-id=bestzb&Contentid=1000000001000004794&livemode=1&stbId=3$LR•IPV4•39『线路15』
CCTV5,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009$LR•IPV4•39『线路16』
CCTV5,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226469/1.m3u8?$LR•IPV6•39『线路17』
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub$LR•IPV4•39『线路18』
CCTV5,http://123.175.209.52:9003/hls/5/index.m3u8$LR•IPV4•39『线路19』
CCTV5,rtmp://ayrtsocndali.v.myalicdn.com/ayocnd/aoyuncctv5_2pd$LR•IPV4•39『线路20』
CCTV5,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5hd$LR•IPV4•39『线路21』
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8$LR•IPV4•39『线路22』
CCTV5,http://113.241.133.180:85/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•39『线路23』
CCTV5,http://74.91.26.218:82/live/cctv5p.m3u8$LR•IPV4•39『线路24』
CCTV5,http://23.237.228.134/live5/CCTV5p.m3u8$LR•IPV4•39『线路25』
CCTV5,http://43.251.226.89:8080/play/6.m3u8$LR•IPV4•39『线路26』
CCTV5,http://183.10.180.36:9901/tsfile/live/1073_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•39『线路27』
CCTV5,http://120.198.95.220:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&down=1$LR•IPV4•39『线路28』
CCTV5,http://112.123.243.37:50085/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4•39『线路29』
CCTV5,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000018504&livemode=1&stbId=yu&mode=1&$LR•IPV4•39『线路30』
CCTV5,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000020505&livemode=1&stbId=yu&mode=1&$LR•IPV4•39『线路31』
CCTV5,http://223.112.114.228:50080/newlive/live/hls/180/live.m3u8$LR•IPV4•39『线路32』
CCTV5,http://153.0.171.163:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•39『线路33』
CCTV5,http://111.29.9.33:6610/000000001000/1000000001000020505/index.m3u8?channel-id=bestzb&Contentid=1000000001000020505&livemode=1&stbId=3$LR•IPV4•39『线路34』
CCTV5,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226894/1.m3u8?$LR•IPV6•39『线路35』
CCTV5,rtmp://ayrtsocndali.v.myalicdn.com/ayocnd/aoyuncctv5plus_2pd$LR•IPV4•39『线路36』
CCTV5,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5p$LR•IPV4•39『线路37』
CCTV5,http://123.175.209.52:9003/hls/6/index.m3u8$LR•IPV4•39『线路38』
CCTV5,http://120.76.248.139/live/bfgd/4200000246.m3u8$LR•IPV4•39『线路39』
CCTV6,http://221.13.235.27:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•19『线路1』
CCTV6,http://221.226.51.220:50081/newlive/live/hls/6/live.m3u8$LR•IPV4•19『线路2』
CCTV6,http://38.75.136.137:98/gslb/dsdqbv/cctv6hd.m3u8?auth=test20251009$LR•IPV4•19『线路3』
CCTV6,http://74.91.26.218:82/live/cctv6hd.m3u8$LR•IPV4•19『线路4』
CCTV6,http://43.251.226.89:8080/play/7.m3u8$LR•IPV4•19『线路5』
CCTV6,http://112.46.105.20:8009/hls/6/index.m3u8$LR•IPV4•19『线路6』
CCTV6,http://153.0.171.163:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•19『线路7』
CCTV6,rtmp://39.108.129.193:1935/cv6/re68_cv6$LR•IPV4•19『线路8』
CCTV6,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000010000018433&livemode=1&stbId=yu&mode=1&$LR•IPV4•19『线路9』
CCTV6,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000016466&livemode=1&stbId=yu&mode=1&$LR•IPV4•19『线路10』
CCTV6,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265006&livemode=1&stbId=yu&mode=1&$LR•IPV4•19『线路11』
CCTV6,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=6117099895556651277&livemode=1&stbId=yu&mode=1&$LR•IPV4•19『线路12』
CCTV6,http://153.0.171.163:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•19『线路13』
CCTV6,http://111.29.9.33:6610/000000001000/1000000001000016466/index.m3u8?channel-id=bestzb&Contentid=1000000001000016466&livemode=1&stbId=3$LR•IPV4•19『线路14』
CCTV6,https://piccpndks.v.kcdnvip.com/audio/cctv6_2/index.m3u8$LR•IPV4•19『线路15』
CCTV6,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226468/1.m3u8?$LR•IPV6•19『线路16』
CCTV6,http://123.175.209.52:9003/hls/7/index.m3u8$LR•IPV4•19『线路17』
CCTV6,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv6hd$LR•IPV4•19『线路18』
CCTV6,http://120.76.248.139/live/bfgd/4200000065.m3u8$LR•IPV4•19『线路19』
CCTV7,http://221.13.235.27:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•23『线路1』
CCTV7,http://112.27.235.94:8000/hls/8/index.m3u8$LR•IPV4•23『线路2』
CCTV7,http://113.241.133.180:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•23『线路3』
CCTV7,http://38.75.136.137:98/gslb/dsdqbv/cctv7hd.m3u8?auth=test20251009$LR•IPV4•23『线路4』
CCTV7,http://74.91.26.218:82/live/cctv7hd.m3u8$LR•IPV4•23『线路5』
CCTV7,http://23.237.228.134/live5/CCTV7.m3u8$LR•IPV4•23『线路6』
CCTV7,http://43.251.226.89:8080/play/8.m3u8$LR•IPV4•23『线路7』
CCTV7,http://112.46.105.20:8009/hls/504/index.m3u8$LR•IPV4•23『线路8』
CCTV7,http://153.0.171.163:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•23『线路9』
CCTV7,rtmp://39.108.129.193:1935/cv7/n6v4_cv7$LR•IPV4•23『线路10』
CCTV7,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000005000026715&livemode=1&stbId=yu&mode=1&$LR•IPV4•23『线路11』
CCTV7,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000011000031104&livemode=1&stbId=yu&mode=1&$LR•IPV4•23『线路12』
CCTV7,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000017218&livemode=1&stbId=yu&mode=1&$LR•IPV4•23『线路13』
CCTV7,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000024341&livemode=1&stbId=yu&mode=1&$LR•IPV4•23『线路14』
CCTV7,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265007&livemode=1&stbId=yu&mode=1&$LR•IPV4•23『线路15』
CCTV7,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=FifastbLive&Contentid=3000000010000011518&livemode=1&stbId=yu&mode=1&$LR•IPV4•23『线路16』
CCTV7,http://111.29.9.40:6610/000000001000/1000000001000017218/index.m3u8?channel-id=ystenlive&Contentid=1000000001000017218&livemode=1&stbId=3$LR•IPV4•23『线路17』
CCTV7,http://153.0.171.163:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•23『线路18』
CCTV7,http://111.29.9.33:6610/000000001000/1000000001000017218/index.m3u8?channel-id=bestzb&Contentid=1000000001000017218&livemode=1&stbId=3$LR•IPV4•23『线路19』
CCTV7,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226946/1.m3u8?$LR•IPV6•23『线路20』
CCTV7,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv7hd$LR•IPV4•23『线路21』
CCTV7,http://123.175.209.52:9003/hls/8/index.m3u8$LR•IPV4•23『线路22』
